nesterukia@nesterukia-VirtualBox:~$ ps -eF
UID          PID    PPID  C    SZ   RSS PSR STIME TTY          TIME CMD
      1 /sbin/init splash                 0  0
      2 [kthreadd]                        0  0
      3 [rcu_gp]                          2  0
      4 [rcu_par_gp]                      2  0
      5 [netns]                           2  0
      7 [kworker/0:0H-events_highpr       2  0
      9 [kworker/0:1H-events_highpr       2  0
     10 [mm_percpu_wq]                    2  0
     11 [rcu_tasks_rude_]                 2  0
     12 [rcu_tasks_trace]                 2  0
     13 [ksoftirqd/0]                     2  0
     14 [rcu_sched]                       2  0
     15 [migration/0]                     2  0
     16 [idle_inject/0]                   2  0
     18 [cpuhp/0]                         2  0
     19 [kdevtmpfs]                       2  0
     20 [inet_frag_wq]                    2  0
     21 [kauditd]                         2  0
     22 [khungtaskd]                      2  0
     23 [oom_reaper]                      2  0
     24 [writeback]                       2  0
     25 [kcompactd0]                      2  0
     26 [ksmd]                            2  0
     27 [khugepaged]                      2  0
     73 [kintegrityd]                     2  0
     74 [kblockd]                         2  0
     75 [blkcg_punt_bio]                  2  0
     76 [tpm_dev_wq]                      2  0
     77 [ata_sff]                         2  0
     78 [md]                              2  0
     79 [edac-poller]                     2  0
     80 [devfreq_wq]                      2  0
     81 [watchdogd]                       2  0
     84 [kswapd0]                         2  0
     85 [ecryptfs-kthrea]                 2  0
     87 [kthrotld]                        2  0
     88 [acpi_thermal_pm]                 2  0
     90 [scsi_eh_0]                       2  0
     91 [scsi_tmf_0]                      2  0
     92 [scsi_eh_1]                       2  0
     93 [scsi_tmf_1]                      2  0
     95 [vfio-irqfd-clea]                 2  0
     97 [mld]                             2  0
     98 [ipv6_addrconf]                   2  0
    109 [kstrp]                           2  0
    112 [zswap-shrink]                    2  0
    113 [kworker/u3:0]                    2  0
    118 [charger_manager]                 2  0
    157 [scsi_eh_2]                       2  0
    158 [scsi_tmf_2]                      2  0
    184 [jbd2/sda3-8]                     2  0
    185 [ext4-rsv-conver]                 2  0
    225 /lib/systemd/systemd-journa       1  0
    249 [ipmi-msghandler]                 2  0
    258 [ttm_swap]                        2  0
    259 [irq/18-vmwgfx]                   2  0
    260 [card0-crtc0]                     2  0
    261 [card0-crtc1]                     2  0
    266 [card0-crtc2]                     2  0
    268 [card0-crtc3]                     2  0
    269 [card0-crtc4]                     2  0
    271 [card0-crtc5]                     2  0
    272 [card0-crtc6]                     2  0
    274 [card0-crtc7]                     2  0
    285 /lib/systemd/systemd-udevd        1  0
    375 [cryptd]                          2  0
    443 /lib/systemd/systemd-oomd         1  0
    444 /lib/systemd/systemd-resolv       1  0
    617 /usr/libexec/accounts-daemo       1  0
    620 /usr/sbin/acpid                   1  0
    625 avahi-daemon: running [nest       1  0
    630 /usr/sbin/cron -f -P              1  0
    632 @dbus-daemon --system --add       1  0
    635 /usr/sbin/NetworkManager --       1  0
    654 /usr/bin/python3 /usr/bin/n       1  0
    657 /usr/libexec/polkitd --no-d       1  0
    661 /usr/libexec/power-profiles       1  0
    666 /usr/sbin/rsyslogd -n -iNON       1  0
    674 /usr/libexec/switcheroo-con       1  0
    680 /lib/systemd/systemd-logind       1  0
    686 /usr/libexec/udisks2/udisks       1  0
    692 /sbin/wpa_supplicant -u -s        1  0
    726 avahi-daemon: chroot helper     625  0
    748 /usr/sbin/ModemManager            1  0
    758 /usr/sbin/cupsd -l                1  0
    800 /usr/bin/python3 /usr/share       1  0
    808 /usr/sbin/gdm3                    1  0
    888 /usr/sbin/cups-browsed            1  0
    892 /usr/sbin/kerneloops --test       1  0
    898 /usr/sbin/kerneloops              1  0
    942 /usr/libexec/rtkit-daemon         1  0
   1068 /usr/libexec/upowerd              1  0
   1180 /usr/libexec/packagekitd          1  0
   1381 /usr/libexec/colord               1  0
   1427 gdm-session-worker [pam/gdm     808  0
   1438 /lib/systemd/systemd --user       1  0
   1439 (sd-pam)                       1438  0
   1445 /usr/bin/pipewire              1438  0
   1446 /usr/bin/pipewire-media-ses    1438  0
   1447 /usr/bin/pulseaudio --daemo    1438  0
   1455 /usr/bin/gnome-keyring-daem       1  0
   1459 /usr/bin/dbus-daemon --sess    1438  0
   1461 /usr/libexec/gvfsd             1438  0
   1469 /usr/libexec/gvfsd-fuse /ru    1438  0
   1472 /usr/libexec/gdm-wayland-se    1427  0
   1481 /usr/libexec/gnome-session-    1472  0
